id_maladie,id_ville,date,cas_asthme,cas_bronchite,cas_cancer_poumon,taux_hospitalisation,mortalite_respiratoire
186,2,2017-11,614,413,183,0.021,"2,9"
571,6,2016-06,645,444,182,"0,054", 1.71 
781,4,2018-03,558,389,,0.052,"1,8"
56,9,2024-08,,-999,289,8.5%,1.82
364,8,2016-08,460,371,,0.042,2.33
118,10,2021-12,,494,208,0.073,0.58
677,2,2024-08,452,337,141,,1.85e+00
1034,1,2020-04,529,409,158,0.063,2.86
815,6,2023-06,394,275,116,0.000,1.50
716,6,2021-07,641,465,-999,0.047,"0,8"
318,4,2024-10,655,518,213,0.067,2.49
681,2,2022-12,-999,,91,"0,043",1.64
603,1,2018-07,450,332,134,0.060,1.61
610,2,2016-08,448,325,152,5.2%, 1.88 
954,1,2020-11,371,285,115,6.8%,1.61
225,7,2021-07,1012,749,322,"0,028",1.94
268,4,2024-02,586,421,172,"0,051",2.50
378,4,2018-06,269,208,84,5.9%, 1.18 
197,3,2020-04,,683,273,"0,030", 3.18 
511,5,2022-09,1046,779,332,"0,021",1.78e+00
613,8,2020-07,277,186,91,1.7%,1.84
1012,8,2020-03,365,281,103,0.047,2.05e+00
377,6,2022-05,,,180,0.029,1.94e+00
419,6,2016-04,854,667,277,7.7%,2.04
387,5,2023-08,873,683,263,0.043,1.22
528,7,2022-07,,880,-999,0.048, 2.66 
1056,6,2020-01,475,331,154,3.5%,1.18
133,9,2019-10,,743,305,?, 2.03 
76,3,2024-08,,345,139,"0,014",1.51
239,5,2018-08,930,630,287,0.033,1.14
973,8,2020-09,258,182,76,0.028, 1.16 
308,1,2022-07,367,227,94,0.081,2.01
97,6,2020-03,821,596,251,4.1%,"2,0"
5,7,2016-01,1271,896,390,0.027,2.70
161,1,2018-08,493,421,181,,3.03
48,10,2024-12,586,455,178,6.9%,1.81
460,9,2019-05,791,616,271,6.3%,1.51e+00
176,1,2023-07,500,,145,3.1%,?
956,10,2016-05,434,243,130,None,0.47
892,6,2022-11,-999,328,125,0.0%,1.33
738,1,2019-02,457,369,139,0.031,1.80
801,5,2023-01,1108,800,322,, 2.13 
471,4,2020-07,418,307,-999,0.063, 2.12 
288,2,2020-07,517,381,157,4.0%,2.37
961,5,2021-05,1064,741,309,0.036, 1.40 
805,10,2023-07,1041,780,318,0.061,2.40
792,10,2017-04,785,546,240,0.079, 1.54 
58,3,2023-04,906,724,282,,None
7,1,2024-07,,322,117,"0,040","1,9"
173,6,2016-07,,617,261,0.031,1.73
106,8,2023-11,,387,158,"0,076",2.68
358,4,2018-04,495,-999,145,,"2,4"
454,1,2022-11,420,-999,135,"0,012",1.90
1047,4,2023-04,478,314,142,0.049, 2.01 
1041,4,2018-12,-999,227,117,"0,034",1.87e+00
232,3,2022-05,765,556,239,7.4%,8.96e-01
69,7,2016-12,915,687,258,0.049,1.88
92,1,2021-08,-999,357,,,"1,3"
978,3,2024-10,626,444,206,"0,010",2.04e+00
731,6,2016-10,470,319,135,0.022,0.58
95,2,2022-05,513,444,158,0.044,1.78
388,10,2020-12,950,704,295,, 2.01 
291,7,2017-01,1153,885,353,"0,077", 1.90 
723,6,2017-12,,540,212,2.6%,1.77
174,3,2016-07,729,549,-999,"0,026","2,5"
467,9,2017-06,,532,219,4.7%,1.49
401,6,2018-02,405,310,148,0.000,1.99
223,10,2018-10,470,387,147,0.028,1.92
1,9,2024-09,1191,827,356,0.049,2.59
588,5,2021-09,,479,185,0.027, 0.88 
821,2,2016-01,505,473,163,0.011,1.80
1057,3,2022-03,980,754,288,5.9%,2.24
819,3,2018-08,1 238,957,392,"0,083",2.45
889,6,2021-12,825,548,-999,"0,042",1.89
628,3,2022-09,1082,827,322,0.083,"2,2"
493,8,2023-06,309,246,-999,0.035,0.64
1067,5,2017-08,874,642,278,0.070,1.87
126,8,2018-06,78930,59 158,24667,0.250, 334.16 
148,5,2023-02,1196,870,384,0.028,"1,2"
700,10,2022-07,672,558,,0.021, 0.78 
142,6,2016-09,563,355,190,2.7%,0.30
91,3,2022-04,1119,878,359,"0,066",3.10
1006,6,2023-05,716,562,219,0.067,2.25
439,4,2019-08,534,414,155,0.075,1.88
876,2,2023-03,622,491,188,0.086,2.40
479,8,2023-05,427,299,106,0.036,1.91
659,3,2022-10,711,628,244,4.4%, 1.78 
599,7,2020-02,811,639,231,0.025,0.34
104,6,2020-08,722,567,-999,0.044,1.96
347,4,2020-10,413,312,115,0.021,1.36
41,3,2023-10,1114,849,358,6.4%,2.62
995,3,2020-08,996,739,298,"0,038",3.58
217,8,2018-08,270,209,108,,1.52
130,5,2023-10,739,598,255,3.8%,2.02e+00
316,9,2023-01,538,395,161,2.9%,"0,5"
242,5,2018-07,668,468,205,"0,023", 1.00 
789,5,2020-09,1249,923,,"0,052",1.62
902,5,2018-04,607,492,186,3.8%,1.44e+00
453,7,2018-11,1077,863,345,0.066,2.96e+00
661,7,2019-05,1057,,323,5.4%,1.11
509,4,2018-02,585,475,170,7.7%, 2.40 
680,4,2022-09,349,310,95,None,2.29e+00
982,9,2019-04,546,434,179,3.9%,0.92
321,2,2021-03,501,420,158,7.0%, 1.43 
980,5,2020-07,627,507,221,4.1%,1.19
88,10,2023-04,-999,311,166,6.2%,"1,1"
584,7,2019-07,1378,1033,419,0.049, 2.71 
352,3,2021-05,1041,785,308,0.091, 1.88 
469,8,2017-07,453,365,140,3.4%,2.31
478,4,2023-10,431,-999,,"0,041",0.93
896,4,2022-12,360,219,116,4.4%,1.56
719,10,2024-07,-999,546,249,"0,055", 2.30 
325,8,2022-04,312,271,115,0.003,"1,0"
558,7,2017-09,,727,,7.9%,1.50
411,10,2018-02,1045,768,,0.092,3.21
672,6,2019-03,738,555,232,0.023,1.09
43,4,2021-09,549,-999,164,6.4%,2.45
929,5,2016-10,1061,788,334,"0,051", 2.33 
612,1,2018-09,399,290,139,0.022,1.77
772,2,2018-02,497,353,172,4.1%,1.50
722,10,2020-05,,604,248,0.066,2.77
779,10,2023-08,950,724,,0.047,2.41
32,3,2019-01,,,265,"0,044",2.05
542,7,2019-01,-999,773,344,, 2.72 
432,3,2023-07,,606,228,5.5%,1.48
351,4,2021-01,760,524,217,"0,066",3.64
635,1,2021-12,444,324,130,0.078,2.12
80,2,2017-01,268,235,84,,"0,4"
355,6,2017-05,562,404,,1.4%, 1.44 
1004,2,2023-02,515,-999,154,0.049,1.92
837,4,2024-02,542,381,165,0.017,"2,4"
783,5,2021-04,559,506,209,"0,020",1.45
376,1,2024-12,372,256,98,2.9%,"1,3"
555,4,2024-11,517,-999,165,0.029,
533,4,2023-08,-999,345,148,0.040,1.69
884,3,2024-01,1052,,319,4.7%, 2.24 
407,6,2018-05,716,551,226,"0,053", 1.51 
697,5,2024-06,819,618,272,0.032,2.26
591,7,2016-05,1102,786,-999,0.035,2.66
112,9,2020-03,558,352,153,0.000, 0.61 
761,4,2023-06,385,279,127,0.043,1.60
814,6,2020-05,796,596,253,3.9%,2.25
399,10,2017-06,1 036,817,317,0.050, 2.73 
185,10,2018-09,729,575,232,0.041, 1.41 
496,8,2021-07,670,449,,None,2.55
350,9,2016-06,,627,287,0.036,2.00
667,10,2019-06,735,546,238,"0,068",1.74
320,1,2023-08,585,433,192,0.075,3.37
521,2,2022-04,696,564,217,0.078,3.57
905,7,2016-04,1151,901,382,6.7%,2.63
143,5,2018-02,777,580,240,0.053,1.70
753,1,2017-01,489,312,132,6.1%,2.85
1069,4,2024-01,584,415,194,8.6%,1.90
502,2,2020-02,,410,171,"0,089",2.13
708,4,2019-07,528,368,169,, 3.05 
894,8,2019-04,379,241,115,"0,021", 2.57 
189,3,2024-02,637,487,191,-999,0.62
410,10,2020-07,-999,476,204,0.059,1.33e+00
35,7,2018-12,-999,684,281,0.047,1.35
313,1,2022-08,644,483,188,9.5%,3.50
1018,5,2018-12,755,571,-999,,"1,0"
1035,5,2024-03,-999,542,231,,0.20
881,4,2016-02,288,217,93,3.7%,1.72
1044,7,2022-01,1051,795,325,0.056,1.17
937,2,2018-04,518,334,130,0.097,3.11
15,10,2016-12,,635,256,0.034,1.80
759,8,2022-01,418,312,153,0.064, 1.44 
416,7,2016-07,1171,865,385,0.049,2.63
877,7,2016-02,1182,857,,4.6%, 2.06 
563,6,2022-10,662,520,197,NaN,?
27,9,2019-08,645,492,183,7.4%, 1.58 
215,9,2021-12,174563,130 963,54 532,0.250,3.35e+02
955,8,2016-07,420,284,110,"0,054", 1.47 
1045,4,2019-12,565,426,154,0.087,2.50
192,4,2024-12,325,,98,,1.61
55,6,2019-12,615,-999,181,,0.45
839,7,2018-08,919,670,271,0.021,0.84
164,7,2023-06,1307,969,402,0.044,2.88e+00
1005,10,2023-05,977,731,306,8.3%,3.24
841,5,2017-11,1221,936,387,0.069,1.35
930,9,2023-02,1033,729,,,2.42e+00
37,7,2017-04,1209,872,378,"0,000",1.72e+00
301,5,2024-09,554,423,181,6.3%,1.12
484,8,2018-01,410,275,112,0.016,1.79
1040,9,2023-03,700,543,,0.013,0.91
658,7,2020-06,828,651,262,0.051,0.59
309,8,2021-09,426,359,137,3.4%,0.54
693,8,2016-12,488,,,0.090, 2.04 
514,1,2017-11,296,288,106,0.036, 2.04 
277,1,2020-07,381,243,85,,1.26
491,10,2023-11,683,525,217,"0,022",NaN
998,2,2016-02,646,479,204,0.062,2.75
811,2,2019-09,605,406,170,"0,074", 1.50 
712,9,2023-05,906,683,284,5.6%,None
728,8,2016-06,412,,132,"0,028", 1.17 
302,9,2021-04,728,570,232,?,1.73
1077,2,2016-06,614,425,194,,2.40
136,9,2017-10,734,626,241,0.021,"1,3"
767,1,2018-02,457,327,136,6.9%,"1,8"
579,8,2016-05,293,252,99,"0,042",1.03
96,3,2020-12,1035,818,358,"0,117","2,6"
556,7,2020-08,790,582,240,0.091,1.29
131,4,2021-05,565,420,183,6.0%, 2.13 
181,5,2020-12,644,,189,1.1%,0.93
171,2,2019-11,616,414,188,8.2%,2.30
853,2,2022-07,673,486,193,5.9%,3.50
742,6,2023-02,713,437,184,?,2.57e+00
275,9,2019-02,720,487,,0.042,0.76
831,9,2020-09,654,466,-999,0.000,"1,3"
630,7,2021-04,1074,,366,3.1%,2.95
26,3,2018-05,963,740,318,0.043,2.46
384,9,2023-10,934,703,285,,1.72
865,8,2017-04,,194,78,0.027,1.49
653,5,2017-07,,10299,4288,25.0%,23.95
529,1,2022-09,-999,231,117,"0,042","2,0"
785,1,2020-06,460,344,156,"0,054",1.94
784,4,2016-07,295,228,115,, 0.38 
1039,6,2017-04,673,541,212,0.086,-999
132,4,2016-05,502,348,146,3.9%,"2,7"
182,6,2020-10,784,573,245,"0,055",NaN
1065,4,2017-05,387,291,115,0.031,1.62
987,9,2021-02,502,340,167,0.030,1.02
83,10,2017-01,569,,156,0.041,0.94
198,10,2017-12,1140,866,360,0.062,"3,1"
341,4,2021-04,61417,46143,19223,0.250,251.95
780,6,2019-08,104158,78130,,0.250, 250.99 
327,10,2018-11,789,565,238,0.024, 1.52 
66,3,2021-04,1204,883,384,"0,063",2.16
451,6,2016-08,-999,307,132,0.000,"0,2"
1022,3,2020-02,462,307,124,0.019, 0.52 
942,5,2018-05,866,698,-999,5.5%,"0,7"
111,1,2020-03,309,249,114,2.1%,2.43e+00
674,3,2019-05,983,749,311,0.041, 2.65 
201,2,2016-07,361,283,109,3.2%, 1.35 
721,2,2017-09,549,337,157,8.2%, 2.34 
934,8,2016-08,376,,112,0.011, 1.93 
139,7,2020-03,979,739,308,0.056,None
276,9,2020-07,642,470,199,,1.55
548,7,2017-12,793,598,,0.015,1.12
516,3,2021-01,1032,785,327,0.032,3.02
375,5,2022-10,880,680,293,0.055, 2.69 
101,7,2021-01,,946,377,4.0%,1.51
758,2,2019-01,423,298,127,0.040,1.95
976,8,2016-11,461,315,137,0.031,1.92
639,10,2023-02,564,428,164,0.2%,"1,7"
676,10,2024-09,697,488,208,0.052,2.66
1031,5,2022-12,684,471,224,3.5%, 1.59 
675,4,2022-03,539,415,-999,0.044, 2.00 
343,1,2020-12,407,281,120,0.047,1.87
18,9,2018-05,1 095,842,333,5.6%, 2.70 
468,2,2016-03,394,287,123,,"1,8"
535,5,2024-07,639,470,-999,3.8%,0.92
9,8,2019-10,351,269,-999,5.4%, 2.09 
520,3,2021-12,,805,327,"0,042",1.68
392,5,2022-02,,440,183,0.025,"1,3"
963,9,2021-09,773,586,,0.073,0.55
441,2,2019-06,486,392,145,7.0%,2.58
227,5,2017-09,13449,9 989,4192,0.250, 23.85 
1001,1,2017-05,,356,141,4.4%,1.86e+00
109,6,2021-03,868,564,246,0.049,2.51
617,8,2017-08,369,264,124,,1.84e+00
793,10,2021-09,104572,78423,32681,25.0%,"251,5"
344,8,2022-07,426,313,144,8.6%,1.72e+00
107,8,2022-11,455,335,148,6.2%, 1.73 
711,7,2022-04,684,518,211,0.018, 0.17 
903,1,2023-09,514,407,155,0.052,"1,8"
858,3,2023-06,457,247,150,4.1%,2.00
1027,1,2016-04,337,303,104,1.9%,1.29
907,6,2018-11,636,,195,"0,022", 1.99 
499,6,2022-06,-999,390,140,5.5%, 1.55 
656,9,2021-01,682,507,198,0.029,0.97
590,3,2023-12,896,647,273,1.3%,3.10
483,8,2020-10,443,352,132,0.026, 1.35 
1062,5,2022-01,588,,193,"0,057",1.34
701,3,2016-04,855,638,276,0.055,1.42e+00
553,9,2016-07,1151,844,352,0.032,2.01
324,5,2017-10,929,666,277,0.045, 1.54 
36,9,2024-05,1050,715,,0.045,2.06
326,10,2020-10,631,517,224,0.064, 1.87 
51,6,2017-07,9807,7295,3050,25.0%, 23.83 
510,8,2021-12,373,253,120,"0,043","1,2"
188,3,2021-04,1225,978,390,7.4%,"2,8"
536,2,2022-02,553,,183,,2.94
425,3,2018-04,1165,864,393,7.7%,3.05
1015,2,2018-09,522,361,,0.073,2.22
503,4,2024-06,,235,87,"0,000",1.15
193,7,2016-03,1052,819,313,0.060,"0,9"
730,9,2022-11,-999,687,254,"0,046",1.15
421,7,2024-03,,724,-999,0.056, 1.60 
146,2,2021-10,524,396,177,"0,028",2.72
472,9,2016-11,827,607,245,0.068,"1,9"
531,9,2018-01,856,,258,"0,045",0.81
519,2,2020-04,420,281,106,7.0%,2.65e+00
278,2,2016-10,295,266,110,0.011, 1.71 
231,2,2024-01,489,321,,0.061,2.81e+00
415,3,2018-01,1101,837,361,0.067,3.13
194,9,2023-07,567,411,158,"0,050", 0.87 
926,5,2020-02,828,676,271,-999,"0,9"
771,4,2019-02,282,215,114,0.028, 1.35 
165,10,2023-06,486,366,153,0.037,"1,4"
28,2,2019-04,,407,182,2.4%,1.98
874,1,2021-10,459,380,158,None,1.85
687,10,2018-12,1010,777,306,7.6%,2.74
450,10,2017-12,892,756,291,0.063,2.05
141,6,2019-06,818,597,260,3.0%,1.97
457,9,2017-05,816,558,,4.9%,1.48
518,4,2019-11,425,304,142,7.5%,2.15
122,1,2023-12,428,372,134,0.058,"2,7"
682,7,2022-09,790,613,253,0.041,None
500,4,2021-06,556,445,181,0.072,2.28
246,1,2020-01,416,358,,0.035, 1.54 
709,5,2022-11,926,674,288,?,1.89
390,10,2019-05,892,691,270,0.018,1.88
882,6,2022-01,674,460,192,,1.87
803,7,2024-08,1 232,949,383,4.2%,1.87
523,8,2022-08,524,368,145,, 2.74 
265,4,2017-11,548,413,171,"0,063",2.27
816,5,2024-08,1004,794,325,4.3%,2.49
840,3,2016-10,634,,204,2.7%,1.91
754,10,2022-02,734,529,240,-999, 1.80 
87,8,2020-03,338,334,118,"0,066", 2.23 
53,9,2022-09,569,455,178,"0,000",6.89e-01
135,2,2022-03,581,,166,NaN,2.12
854,10,2019-03,,637,258,0.014,1.98
637,3,2017-07,10442,7840,3260,0.250,2.40e+01
114,2,2018-02,406,317,131,0.018, 1.17 
403,3,2017-10,824,565,244,0.035,1.33e+00
786,5,2022-07,877,637,,5.9%,1.55
382,4,2022-04,334,324,121,2.7%, 0.92 
648,2,2021-12,525,402,154,0.066,1.87
972,8,2021-04,271,231,86,, 1.53 
155,10,2020-09,568,400,184,, 1.70 
253,7,2020-11,880,640,262,NaN, 1.70 
1016,2,2023-07,507,379,133,0.053, 1.47 
129,2,2023-05,229,160,70,0.024,1.67
417,9,2020-05,556,443,186,"0,031",0.00
333,4,2020-04,479,355,141,0.042,2.58
707,8,2020-08,401,301,103,3.0%,1.99
195,7,2022-08,1236,-999,380,,1.67
999,4,2019-01,437,296,113,, 1.40 
367,10,2021-05,667,588,219,"0,025",2.10
921,2,2024-12,617,486,189,0.052,3.10e+00
64,8,2021-08,433,332,138,3.6%,"2,3"
642,5,2023-05,758,499,212,3.1%,1.40e+00
379,9,2020-12,774,566,248,0.0%,-999
575,2,2016-11,,193,-999,2.8%,0.00
240,10,2020-08,495,382,125,0.017,0.81
1011,4,2022-06,343,-999,112,0.007,"2,0"
452,3,2021-07,1054,810,333,9.2%, 1.76 
597,5,2019-01,925,684,,"0,044",1.84
1024,3,2016-07,1080,,354,4.9%,"2,4"
207,1,2020-05,578,454,166,5.2%,1.86
163,10,2019-01,493,420,175,0.015,"1,5"
808,5,2018-09,690,467,219,0.000, 2.19 
958,4,2024-05,859,,263,"0,106",3.97
287,1,2019-01,347,267,103,"0,050",1.40
172,9,2019-07,873,647,252,4.2%,2.26
310,9,2024-02,810,582,255,0.007,1.60e+00
760,6,2020-06,433,315,,"0,028",1.60
180,1,2020-10,487,-999,140,6.1%,2.19
1049,5,2020-05,618,443,191,"0,001", 1.79 
541,4,2023-08,463,340,,0.054,1.83
844,6,2023-04,-999,486,209,,0.41
427,9,2021-05,687,540,221,,"1,3"
1060,4,2020-09,264,177,88,2.2%,0.74
539,2,2017-03,456,-999,159,2.8%,2.57e+00
250,8,2022-02,239,179,72,0.037, 1.28 
996,1,2019-11,378,317,120,0.027,1.48
592,5,2023-03,633,,210,0.046,1.11
974,3,2024-12,1124,846,369,0.094,2.77
447,4,2017-08,536,393,157,4.9%, 2.76 
625,3,2020-01,1022,848,342,"0,056","3,0"
545,8,2016-03,365,224,,0.028,0.77
489,10,2017-10,1137,825,328,0.063,2.05
255,3,2020-11,831,630,267,3.4%,1.96
936,8,2018-01,270,167,72,0.038,1.91e+00
166,5,2024-01,671,597,252,0.012,0.82
664,6,2016-12,832,595,252,0.046,1.33
444,9,2017-11,560,458,152,"0,023",0.43
487,7,2017-07,672,503,216,0.036,1.15
1068,6,2021-09,688,522,212,4.3%, 1.94 
824,4,2017-04,548,412,175,"0,060", 2.37 
383,8,2017-05,387,278,133,0.033,"1,2"
190,8,2024-01,329,226,86,"0,037",5.45e-01
368,10,2022-12,858,622,269,3.4%, 1.76 
551,5,2017-03,751,580,235,,1.88
724,10,2024-04,874,636,,0.042,1.69
397,5,2021-07,559,,186,0.003,1.49
124,2,2020-01,346,-999,123,0.023,0.94
766,9,2020-07,513,414,176,0.023,"1,4"
402,7,2023-11,1381,1029,414,0.071,2.03
606,6,2019-09,527,370,162,0.022,1.61e+00
1036,5,2016-03,,514,210,0.038,8.71e-01
627,10,2022-08,720,553,218,0.6%,1.50
794,6,2022-04,834,640,248,"0,043", 1.88 
971,6,2024-12,425,319,134,"0,047",0.29
2,2,2024-06,646,423,164,,3.02
965,3,2024-08,523,388,154,"0,000",0.71
666,6,2021-08,423,351,,0.0%,1.01
706,7,2018-01,545,451,169,0.008,1.41
294,1,2024-05,451,387,157,0.075,2.24
312,2,2023-04,618,380,160,0.056,3.43e+00
513,7,2021-05,575,434,181,0.0%, 0.85 
532,9,2024-06,506,386,173,0.013, 1.40 
912,10,2021-03,,528,225,0.046,1.33
557,9,2017-01,560,500,199,1.4%,0.72
400,4,2018-05,445,350,128,0.092,"1,2"
203,8,2024-06,435,313,132,, 1.35 
585,5,2017-12,1221,889,-999,0.047,2.37e+00
216,6,2022-09,1009,783,-999,0.043,2.31
283,8,2023-10,241,203,61,0.005,3.23e-02
50,10,2021-07,1041,733,,3.9%,3.31
861,10,2021-06,887,653,281,NaN, 3.01 
154,9,2019-11,821,627,262,"0,002",0.87
909,5,2021-11,892,616,281,0.056,1.57
734,1,2021-02,477,303,137,-999,1.87
647,3,2023-02,1190,933,,0.064,3.07
534,2,2023-01,358,300,123,"0,032",1.90
768,6,2020-02,1019,774,293,8.2%,3.42
395,7,2022-11,1019,815,326,,"1,3"
279,1,2017-10,355,,125,"0,018",2.85
393,3,2022-02,948,764,301,,2.36
559,2,2018-11,528,-999,141,7.1%,1.67
673,7,2018-07,907,739,288,1.6%,1.44
233,7,2023-02,1301,1025,421,0.060,2.87e+00
932,8,2016-04,288,222,90,2.4%,1.30
353,3,2016-12,108414,81305,33875,, 251.76 
964,10,2023-09,830,-999,-999,0.046, 1.86 
212,8,2021-10,425,,121,0.034,"1,8"
273,1,2018-05,351,254,117,3.3%,2.44
230,7,2020-05,923,701,285,0.7%,1.78
867,1,2016-11,320,,105,0.044,1.36
105,1,2022-01,480,297,149,0.048,"2,5"
737,1,2021-03,-999,423,181,0.064,None
31,1,2019-11,54135,40648,16928,,251.84
809,2,2018-12,421,328,116,0.043,1.90
431,3,2017-03,882,684,,7.7%,1.59
569,1,2021-04,655,491,210,0.046,2.39
266,3,2021-10,1220,938,403,10.5%, 1.92 
191,9,2020-04,824,582,261,0.021, 1.35 
988,4,2023-12,441,344,-999,0.041,"2,3"
762,9,2018-10,821,606,,0.027, 1.18 
237,3,2023-11,1090,790,321,0.074,2.89
244,7,2018-03,-999,973,-999,6.4%,2.65
1014,5,2016-07,620,442,167,5.4%,0.53
119,6,2024-10,450,287,115,"0,049",1.37e+00
89,5,2018-06,859,622,,2.2%,"0,4"
827,8,2021-03,418,346,146,0.031,1.89e+00
843,10,2016-06,525,427,179,"0,031", 1.64 
438,9,2017-02,892,625,263,4.9%,2.06
29,10,2017-09,,,-999,0.045,?
688,1,2018-04,630,,188,"0,069",2.94e+00
323,1,2022-04,410,352,,0.042,2.08
975,10,2016-01,631,,225,,"2,0"
741,6,2024-05,481,398,171,4.4%,0.95
42,8,2019-05,353,248,,0.002,"1,1"
747,4,2018-07,489,384,162,0.049,"1,1"
847,9,2018-07,692,545,190,,1.14
570,8,2024-08,349,233,116,0.040,1.74
917,4,2018-10,489,377,146,0.074,"2,8"
684,9,2022-01,-999,531,223,"0,067",1.86
214,9,2019-09,683,502,,4.7%, 2.12 
607,5,2016-04,753,593,267,"0,030",1.52
662,2,2017-06,328,246,117,0.002,1.03
997,1,2023-03,470,350,135,2.3%,3.75
504,3,2018-11,-999,803,338,"0,046",2.80e+00
412,10,2022-03,-999,647,279,0.057,2.35
4,10,2024-10,-999,593,248,4.4%,1.64e+00
98,5,2021-08,776,555,-999,3.1%,1.72
22,7,2020-01,1326,1028,410,0.041,2.46
944,9,2017-12,-999,478,237,0.043,1.32
297,3,2024-06,1049,842,326,0.077, 2.20 
778,5,2021-10,839,589,261,"0,008",2.29
208,8,2019-08,307,264,89,0.0%, 1.58 
274,9,2023-09,-999,566,,"0,025",1.34
322,3,2020-09,948,656,291,0.064,1.93e+00
248,1,2019-07,575,398,185,5.9%,1.97
740,9,2023-12,656,494,212,0.062,1.83
947,10,2020-04,861,621,266,0.062, 2.25 
429,3,2023-01,,1142,465,"0,111",4.00
537,2,2024-11,297,232,104,,1.76
508,4,2016-06,477,337,150,0.048,2.41e+00
726,8,2017-12,,503,203,,3.42
573,9,2024-04,720,563,247,4.5%, 1.45 
470,7,2016-10,631,,213,4.0%,5.60e-01
855,10,2021-01,635,496,173,0.015,"1,2"
633,8,2018-03,357,315,130,0.044,1.62
561,8,2019-01,-999,,93,-999, 1.48 
665,9,2018-04,550,404,186,,"1,4"
925,10,2020-10,866,616,-999,0.056,2.40
418,7,2020-04,569,457,183,3.4%,"0,1"
866,7,2023-09,832,625,266,0.025,1.75
670,9,2016-05,551,405,180,"0,039", 0.82 
900,9,2020-01,708,544,213,,1.53
162,8,2023-09,,-999,103,0.049, 1.25 
408,4,2019-06,363,,,2.4%,2.02
1030,2,2018-08,,364,153,"0,103", 3.01 
1079,1,2024-10,54 167,40583,16915,0.250,251.74
475,7,2020-11,1410,997,406,0.020, 2.31 
474,2,2017-02,-999,-999,150,,2.31
506,4,2020-11,418,335,151,5.3%, 2.43 
749,9,2019-03,1006,720,-999,"0,055", 2.49 
125,3,2019-09,590,444,187,0.029, 1.71 
361,5,2021-01,1054,832,,0.000,1.33
924,1,2017-06,389,245,117,0.054,1.63
228,1,2017-07,380,314,144,0.022,?
505,2,2017-05,529,,163,1.3%,2.01
464,6,2019-12,514,413,-999,,1.96
654,10,2021-04,,658,263,0.039,NaN
646,4,2021-03,505,436,175,0.027,1.63e+00
710,7,2023-03,1148,834,342,1.4%,1.90
371,6,2019-06,719,573,228,5.8%,2.27
574,7,2022-02,1109,843,355,0.061,1.79
845,6,2019-04,441,358,138,5.3%,1.40
605,1,2016-01,,393,,"0,035",3.16
872,4,2021-11,262,184,77,, 0.81 
967,4,2023-05,,-999,104,,1.41
745,6,2022-07,625,467,197,0.038,1.49e+00
150,1,2024-03,351,287,119,0.048,2.12e+00
440,3,2017-05,1250,922,386,0.080,2.04
134,2,2018-07,403,306,95,0.067,1.24
769,7,2018-04,964,732,-999,3.7%,1.77
609,7,2016-06,1369,1053,427,10.2%,1.89
380,3,2022-12,966,,294,0.073,2.38
315,7,2019-02,-999,911,387,4.5%,1.94
1038,7,2019-12,651,526,205,2.8%,0.34
911,5,2019-08,769,604,229,"0,054",0.91
63,4,2016-03,397,288,134,0.029, 1.54 
828,6,2021-02,,78085,32528,0.250,2.50e+02
473,6,2016-02,596,480,192,0.031, 1.71 
501,9,2022-10,1104,869,346,7.0%,2.02e+00
254,7,2017-08,1016,,328,0.060,"2,5"
241,1,2018-12,531,366,158,0.091,2.90
1076,6,2024-03,731,595,260,4.0%,1.95e+00
