id_ville,ville,date,pm25,dioxyde_soufre,monoxyde_carbone,indice_pollution,population,temperature_moyenne
1,Paris,2022-12,19.12,4.47,0.93,73.36,2078071.0,12.76
1,Paris,2020-06,2.99,9.48,0.7,99.23,999.0,14.29
1,Paris,2019-09,24.73,5.01,1.11,73.26,2125997.0,12.33
1,Paris,2016-11,22.69,9.26,0.42,6.89,2.0,13.56
1,Paris,2021-10,29.99,7.01,1.09,96.94,2.0,12.27
1,Paris,2023-09,37.5,11.02,0.78,100.0,2123619.0,11.77
1,Paris,2017-06,23.92,6.8,0.7,78.59,2242309.0,12.37
1,Paris,2022-05,26.04,5.86,0.56,73.51,2246236.0,12.24
1,Paris,2021-06,18.91,11.97,0.4,78.09,2.0,11.73
1,Paris,2016-09,30.09,2.95,0.78,85.54,2.0,12.81
1,Paris,2022-06,20.7,10.86,0.67,7.37,2178708.0,12.96
1,Paris,2020-11,20.53,9.15,0.78,8.02,2.0,1.2
1,Paris,2023-05,29.34,6.38,0.86,83.21,2144696.0,10.99
1,Paris,2021-01,31.67,16.13,0.67,100.0,2182507.0,11.8
1,Paris,2019-11,999.0,7.6,0.72,88.63,2153675.0,12.86
1,Paris,2023-03,31.51,6.09,0.72,98.91,2.0,12.74
1,Paris,2017-05,29.67,1.1,0.7,96.57,2077231.0,11.78
1,Paris,2017-03,19.72,7.99,0.93,72.23,2121511.0,1.27
1,Paris,2023-04,21.04,12.28,0.51,6.71,2066622.0,12.25
1,Paris,2016-04,18.83,4.35,1.07,63.13,1447095.7745098039,10.78
1,Paris,2020-04,38.5,7.63,0.84,100.0,2.0,13.3
1,Paris,2024-04,36.34,7.96,0.63,100.0,2125785.0,12.58
1,Paris,2019-04,46.3,12.5,1.94,100.0,2114910.0,13.05
1,Paris,2016-03,29.2,2.35,0.27,76.34,2097358.0,12.51
1,Paris,2022-02,11.67,9.78,0.8,51.64,2.0,12.11
1,Paris,2019-12,999.0,5.05,1.23,100.0,2140410.0,12.79
1,Paris,2024-01,29.12,13.08,0.33,100.0,2164924.0,11.8
1,Paris,2024-11,34.41,9999.0,0.38,98.76,2.0,13.87
10,Lille,2024-10,2.04,14.88,0.48,8.21,189513.0,10.22
10,Lille,2019-07,20.92,10.4,7.47,67.62,245212.0,10.7
10,Lille,2016-12,21.9,17.24,0.82,76.1,224.0,1.18
10,Lille,2020-06,35.22,7.76,8.8,100.0,268.0,11.15
10,Lille,2017-09,16.44,1.59,1.0,79.21,225843.0,11.3
10,Lille,2020-02,30.04,1.92,5.95,100.0,247098.0,1.02
10,Lille,2021-02,19.45,10.28,0.67,65.3,346.0,12.57
10,Lille,2024-12,8.43,14.96,1.15,50.46,219798.0,10.99
10,Lille,2021-07,27.57,8.97,10.998749999999992,89.84,222798.0,8.21
10,Lille,2023-10,7.62,11.98,0.36,37.33,999.0,11.51
10,Lille,2019-02,24.06,19.2,0.86,1.0,364100.0,11.3
10,Lille,2017-03,27.34,3.01,1.03,7.77,294.0,1.09
10,Lille,2017-01,15.17,10.14,0.79,46.49,315567.0,9.8
10,Lille,2023-04,6.64,10.87,1.5,77.57086538461536,132901.0,9.995533980582524
10,Lille,2016-09,4.29,18.68,1.0,41.67,158061.0,12.37
10,Lille,2021-12,1.44,10.41,1.26,68.07,224.0,11.0
10,Lille,2020-09,20.43,14.1,0.57,77.57086538461536,212925.0,9.38
10,Lille,2020-03,3.51,12.17,0.6,100.0,286495.0,10.13
10,Lille,2019-01,11.9,7.87,1.25,59.22,213843.0,11.6
10,Lille,2023-06,19.83,1.0,0.59,5.48,219053.0,10.51
10,Lille,2019-11,25.45,8.5,1.15,81.6,256029.0,9.83
10,Lille,2016-04,23.35,9.74,1.02,78.34,162.0,8.9
10,Lille,2018-09,1.93,12.56,1.16,71.2,133722.0,10.1
10,Lille,2022-04,28.22,16.89,0.66,99.43,179990.0,11.4
10,Lille,2017-11,31.45,12.6,999.0,100.0,248.0,10.11
10,Lille,2018-10,9.84,9.96,0.99,44.98,160.0,10.77
10,Lille,2018-01,3.35,14.99,0.91,100.0,182.0,12.3
10,Lille,2022-01,17.28,1.27,0.86,75.66,280.0,11.19
10,Lille,2019-04,15.58,17.27,1.1,73.37,260822.0,9.19
10,Lille,2020-08,12.59,4.64,1.31,48.52,288797.0,10.5
10,Lille,2016-03,26.79,9.38,1.72,93.3,185927.0,10.13
10,Lille,2023-12,18.97,14.42,1.0,85.7,227887.0,11.01
10,Lille,2022-06,13.03,15.26,0.56,5.54,214.0,1.01
10,Lille,2020-10,37.91676470588234,10.7,0.79,78.06,311570.0,11.58
10,Lille,2018-11,27.81,3.86,1.09,90.3,279704.0,11.92
10,Lille,2020-01,20.78,12.71,0.61,78.17,308516.0,9.92
10,Lille,2016-02,12.76,9.16,0.95,49.14,157324.0,8.58
10,Lille,2021-05,21.69,6.26,0.76,78.06,291964.0,1.07
10,Lille,2022-12,31.09,5.5,0.71,91.58,226.0,10.78
10,Lille,2024-07,37.91676470588234,7.69,0.61,8.34,119360.0,11.04
10,Lille,2024-01,18.45,115.45638095238101,0.97,74.66,141812.0,11.03
10,Lille,2020-12,24.6,17.6,0.83,100.0,286149.0,9.62
10,Lille,2019-05,22.9,14.17,1.35,88.3,168082.0,9.8
10,Lille,2017-06,33.6,14.12,1.21,100.0,294228.0,12.9
10,Lille,2020-07,20.46,7.59,0.87,63.39,239.0,11.57
10,Lille,2018-02,35.94,1.39,1.32,100.0,192144.0,10.74
10,Lille,2022-03,28.15,11.12,4.77,92.12,237672.0,1.09
10,Lille,2022-10,28.49,11.49,10.998749999999992,100.0,212.0,1.2
10,Lille,2017-12,28.63,12.0,1.05,89.26,254349.0,10.06
10,Lille,2023-03,1.32,8.54,1.67,5.73,164312.0,11.43
10,Lille,2017-10,18.39,21.86,10.998749999999992,95.25,233744.0,9.995533980582524
10,Lille,2018-07,23.04,17.25,0.98,89.0,340928.0,1.09
10,Lille,2023-11,22.4,5.83,1.1,68.72,248.0,9.89
10,Lille,2017-08,17.3,17.6,3.4,65.5,238829.0,10.73
10,Lille,2017-05,30.1,13.94,0.55,97.7,160212.16346153847,8.39
10,Lille,2016-11,11.53,9999.0,0.98,50.7,153.0,11.78
10,Lille,2018-04,27.82,12.82,1.2,77.57086538461536,255397.0,9.53
10,Lille,2022-09,1.27,14.92,1.17,69.35,348.0,10.17
10,Lille,2022-05,32.03,10.49,0.77,1.0,257277.0,11.14
10,Lille,2016-07,999.0,1.01,0.6,65.0,250.0,9.79
10,Lille,2016-10,16.29,8.0,0.16,52.57,220614.0,11.42
10,Lille,2022-08,15.8,16.11,0.82,71.9,222745.0,1.19
10,Lille,2023-02,20.57,11.21,0.85,999.0,210.0,11.97
10,Lille,2021-04,28.68,12.6,0.7,91.06,187.0,9.06
10,Lille,2024-05,10.93,5.57,0.88,42.86,164.0,1.04
10,Lille,2024-02,24.22,8.7,0.45,85.59,256572.0,10.47
10,Lille,2019-06,1.2,18.42,1.3,72.21,293.0,10.83
10,Lille,2021-08,20.0,999.0,0.65,81.76,194.0,11.06
10,Lille,2024-09,37.91676470588234,16.78,6.31,64.82,212961.0,9.4
10,Lille,2018-05,13.58,8.97,0.56,50.24,221292.0,11.54
10,Lille,2018-12,37.5,1.03,0.87,100.0,232098.0,12.23
10,Lille,2024-03,13.41,8.06,1.23,5.86,204.0,11.2
10,Lille,2022-07,20.0,5.08,1.13,7.46,160212.16346153847,11.7
10,Lille,2024-08,19.64,115.45638095238101,5.1,76.08,10.0,9.7
10,Lille,2020-05,2.59,10.94,0.86,87.78,158.0,10.96
10,Lille,2024-04,15.74,115.45638095238101,1.25,7.83,200566.0,8.08
10,Lille,2019-10,1.34,13.68,0.57,65.15,348891.0,9.84
10,Lille,2022-02,1.9,15.56,0.81,73.53,211835.0,10.78
10,Lille,2023-08,28.13,12.35,1.46,96.22,206241.0,10.6
10,Lille,2017-04,26.24,12.39,0.31,83.0,265619.0,10.87
10,Lille,2021-09,1.0,7.49,1.24,78.38,201754.0,11.2
10,Lille,2022-11,18.06,9.99,6.85,62.92,301601.0,10.81
10,Lille,2017-02,25.2,11.6,1.22,94.68,220.0,9.8
10,Lille,2023-07,29.66,18.12,0.79,100.0,249.0,10.76
10,Lille,2019-12,20.11,7.05,1.09,77.57086538461536,160212.16346153847,10.36
10,Lille,2016-06,19.19,3.39,6.7,56.76,199.0,10.0
10,Lille,2017-07,12.09,15.7,0.84,54.46,256644.0,11.53
10,Lille,2019-03,37.91676470588234,15.5,0.73,97.33,241003.0,10.4
10,Lille,2021-01,16.75,16.6,0.03,66.28,160458.0,10.22
10,Lille,2023-01,26.57,9.86,0.88,8.98,185705.0,9.995533980582524
10,Lille,2021-06,20.97,21.02,1.0,92.29,160699.0,65.0
10,Lille,2024-06,37.91676470588234,14.53,0.27,86.96,162832.0,9.995533980582524
10,Lille,2021-03,13.23,19.59,7.2,70.32,228836.0,1.0
10,Lille,2020-11,28.5,10.53,0.32,1.0,228.0,9.95
10,Lille,2019-08,26.97,12.45,0.79,89.65,235607.0,11.44
10,Lille,2020-04,21.92,16.59,0.69,86.39,231171.0,11.4
10,Lille,2021-11,40.59,13.45,0.72,100.0,301488.0,9.35
10,Lille,2018-06,19.29,4.39,1.18,62.4,229063.0,11.15
10,Lille,2016-05,5.59,9.51,0.75,32.59,294170.0,11.93
10,Lille,2023-09,37.91676470588234,18.1,0.83,90.26,274125.0,11.45
10,Lille,2016-01,13.66,15.94,0.9,64.9,136.0,12.14
10,Lille,2016-08,3.08,7.3,10.998749999999992,93.27,191129.0,1.1
10,Lille,2023-05,28.07,1.74,0.69,100.0,301512.0,12.49
10,Lille,2018-03,24.73,10.11,1.0,88.54,182084.0,1.12
10,Lille,2019-09,13.37,12.4,0.91,57.56,202.0,10.93
10,Lille,2018-08,20.54,1.66,0.9,87.43,356609.0,10.42
10,Lille,2024-11,999.0,8.82,0.85,83.71,238468.0,9.995533980582524
10,Lille,2021-10,9.99,1.51,0.33,94.65,160212.16346153847,10.34
2,Lyon,2024-06,38.05,5.16,1.12,100.0,10.0,12.04
2,Lyon,2024-07,32.02,1.03,8.35,99.26,528468.0,10.69
2,Lyon,2022-11,2.43,1.55,0.66,9.13,511346.0,12.12
2,Lyon,2023-09,2.81,8.28,0.7,92.76,522.0,12.1
2,Lyon,2019-04,2.26,1.42,0.87,95.69,549.0,11.74
2,Lyon,2020-12,27.5,7.41,0.87,90.67,564.0,12.74
2,Lyon,2023-12,19.48,18.58,0.4,82.16,551688.0,12.51
2,Lyon,2021-05,30.59,12.59,0.58,100.0,458711.0,10.64
2,Lyon,2017-01,29.77,3.16,3.63,88.38400000000004,528.0,1.19
2,Lyon,2019-02,25.41,6.8,0.36,73.63,326272.27358490566,13.9
2,Lyon,2021-04,27.34,1.05,0.85,87.5,507.0,10.4
2,Lyon,2022-05,36.97,5.84,0.85,100.0,488811.0,14.01
2,Lyon,2022-09,2.64,11.32,0.8,92.94,600.0,12.6
2,Lyon,2020-09,26.97,5.37,1.08,9.06,508951.0,12.13
2,Lyon,2018-03,23.1,8.76,0.76,76.0,582.0,11.21
2,Lyon,2020-01,17.81,12.83,7.61,68.56,455984.0,12.97
2,Lyon,2023-05,999.0,9.61,0.45,42.83,528994.0,13.49
2,Lyon,2018-07,23.22,8.87,0.4,7.04,469792.0,11.33
2,Lyon,2022-03,33.55,1.02,0.88,100.0,523.0,10.1
2,Lyon,2020-06,20.9,17.2,0.69,77.83,526405.0,11.42
2,Lyon,2021-10,37.34,3.0,0.61,98.4,455.0,1.33
2,Lyon,2019-11,37.76,3.91,0.56,100.0,598.0,12.03
2,Lyon,2017-12,34.51,11.84,0.68,100.0,541480.0,12.31
2,Lyon,2016-07,16.0,12.85,0.64,63.81,555547.0,12.54
2,Lyon,2024-05,29.1,3.8,7.83,90.42,420.0,12.47
2,Lyon,2024-01,2.53,9.48,0.71,8.39,568193.0,14.3
2,Lyon,2024-09,17.17,8.73,1.0,66.77,635966.0,1.25
2,Lyon,2021-08,21.37,11.58,0.82,8.03,999.0,11.43
2,Lyon,2016-10,20.66,4.37,0.31,6.43,455978.0,13.85
2,Lyon,2020-07,34.57,7.39,0.59,93.94,497.0,11.535576923076926
2,Lyon,2022-06,25.28,10.9,0.9,91.17,527.0,12.46
2,Lyon,2019-08,52.61383177570093,12.99,0.86,7.58,504611.0,12.3
2,Lyon,2023-04,33.83,11.12,0.73,100.0,482301.0,11.82
2,Lyon,2021-03,31.71,7.71,0.69,100.0,606.0,12.54
2,Lyon,2019-12,22.0,17.52,0.34,88.38400000000004,326272.27358490566,1.16
2,Lyon,2019-05,32.32,14.43,0.91,100.0,573333.0,13.27
2,Lyon,2021-09,2.68,1.47,0.84,95.47,558584.0,9.25
2,Lyon,2017-10,32.6,3.72,0.52,91.01,516278.0,12.72
2,Lyon,2021-11,22.79,11.39,0.7,83.3,523.0,10.82
2,Lyon,2017-04,41.99,14.1,0.24,1.0,488759.0,12.13
2,Lyon,2023-11,20.53,13.58,0.63,84.21,486.0,12.38
2,Lyon,2020-11,43.18,1.26,0.56,100.0,589967.0,13.02
2,Lyon,2019-07,3.03,8.43,0.71,100.0,529554.0,12.15
2,Lyon,2018-01,29.4,4.89,0.43,90.51,518022.0,11.535576923076926
2,Lyon,2020-08,12.74,13.04,0.9,62.5,471651.0,12.05
2,Lyon,2016-12,26.66,14.41,0.73,96.31,501819.0,12.04
2,Lyon,2016-03,21.84,7.81,0.69,70.51,484.0,12.21
2,Lyon,2017-02,27.17,11.39,5.65,86.76,529.0,11.12
2,Lyon,2020-02,32.85,9.6,1.16,100.0,443723.0,11.41
2,Lyon,2017-05,31.66,7.1,0.75,93.48,489424.0,10.69
2,Lyon,2021-02,42.62,10.79,0.54,100.0,503982.0,12.52
2,Lyon,2020-04,26.3,14.47,0.79,88.38400000000004,548488.0,12.55
2,Lyon,2022-04,35.2,11.39,2.0055238095238095,100.0,624418.0,11.96
2,Lyon,2020-05,3.28,15.32,0.7,100.0,515513.0,1.35
2,Lyon,2017-08,50.04,9.62,1.0,100.0,518250.0,13.87
2,Lyon,2023-01,21.25,4.71,1.11,76.34,485592.0,14.35
2,Lyon,2022-02,3.63,10.96,0.64,100.0,516419.0,12.1
2,Lyon,2024-11,19.93,4.68,0.24,61.78,10.0,9.95
2,Lyon,2017-03,30.7,3.19,0.96,93.41,532801.0,30.0
2,Lyon,2018-11,21.26,14.76,1.06,82.99,478382.0,12.57
2,Lyon,2016-11,999.0,16.8,0.75,52.88,492754.0,12.5
2,Lyon,2021-07,25.45,13.53,0.86,84.67,593827.0,13.48
2,Lyon,2019-10,22.98,9.168476190476193,9.68,78.17,526648.0,65.0
2,Lyon,2016-09,29.94,5.0,0.93,90.7,493863.0,13.15
2,Lyon,2016-08,23.75,14.6,0.43,88.71,549.0,1.18
2,Lyon,2023-08,12.66,9.168476190476193,0.7,59.01,531195.0,1.35
2,Lyon,2024-02,21.98,4.52,0.7,81.42,479.0,13.7
2,Lyon,2022-01,23.9,8.6,0.62,89.14,539.0,1.25
2,Lyon,2021-12,35.97,8.02,0.31,100.0,595.0,11.535576923076926
2,Lyon,2023-10,20.68,7.35,3.49,74.97,457806.0,11.41
2,Lyon,2017-06,18.69,4.6,0.46,63.45,472530.0,14.73
2,Lyon,2024-08,26.0,6.38,0.5,85.92,574.0,1.27
2,Lyon,2022-12,17.13,4.24,1.1,55.94,470.0,9.95
2,Lyon,2022-10,24.8,13.9,1.0,86.63,549870.0,12.8
2,Lyon,2017-09,2.14,17.25,0.88,85.22,551620.0,13.07
2,Lyon,2020-10,28.88,1.83,0.64,999.0,469.0,11.82
2,Lyon,2019-01,21.5,8.45,0.77,75.77,552927.0,14.11
2,Lyon,2018-02,27.25,10.12,0.9,90.08,524.0,11.535576923076926
2,Lyon,2021-06,29.02,14.19,1.12,100.0,573934.0,12.06
2,Lyon,2019-06,39.44,12.59,2.0055238095238095,100.0,580325.0,1.13
2,Lyon,2018-12,22.03,12.5,0.75,73.8,597.0,13.9
2,Lyon,2017-07,31.44,10.7,88.0,100.0,491218.0,12.22
2,Lyon,2019-09,29.24,16.31,0.68,100.0,550394.0,12.29
2,Lyon,2016-01,24.92,1.28,1.16,98.74,506555.0,10.99
2,Lyon,2021-01,36.4,9.168476190476193,1.03,100.0,623763.0,11.41
2,Lyon,2018-06,47.7,8.5,0.59,100.0,598.0,11.58
2,Lyon,2018-05,29.4,13.56,0.72,1.0,494135.0,13.51
2,Lyon,2022-07,48.63,9.77,0.8,100.0,575.0,13.29
2,Lyon,2024-04,2.18,5.94,2.0055238095238095,62.6,521.0,1.13
2,Lyon,2023-03,36.2,1.98,1.05,100.0,549.0,12.95
2,Lyon,2016-05,23.92,8.51,0.35,72.15,464471.0,13.85
2,Lyon,2022-08,32.7,5.43,1.11,95.4,999.0,11.3
2,Lyon,2017-11,28.6,4.66,0.8,89.49,547.0,13.18
2,Lyon,2023-06,999.0,3.72,0.45,100.0,470.0,1.19
2,Lyon,2024-12,30.5,19.97,0.7,1.0,524091.0,1.2
2,Lyon,2018-04,2.53,8.24,1.06,87.3,571.0,10.6
2,Lyon,2024-03,42.1,7.79,0.8,100.0,501043.0,11.9
2,Lyon,2018-10,29.6,19.82,0.5,100.0,488.0,11.54
2,Lyon,2016-02,50.16,10.24,0.7,100.0,529904.0,11.96
2,Lyon,2023-02,35.84,8.7,0.08,100.0,450.0,10.45
2,Lyon,2018-09,26.55,12.7,0.42,91.54,528322.0,12.6
2,Lyon,2023-07,3.2,6.13,7.26,89.66,489931.0,12.42
2,Lyon,2018-08,26.69,10.94,1.1,89.01,569216.0,11.89
2,Lyon,2020-03,26.6,10.97,0.64,9.11,457423.0,13.54
2,Lyon,2019-03,2.23,10.9,0.7,85.1,646346.0,11.57
2,Lyon,2024-10,28.73,8.8,0.73,91.54,555405.0,13.06
2,Lyon,2016-04,24.71,16.02,0.04,91.62,582304.0,10.03
2,Lyon,2016-06,35.42,15.09,0.88,100.0,493773.0,12.59
3,Marseille,2019-10,33.1,14.48,0.37,1.0,899713.0,14.25
3,Marseille,2018-05,26.13,14.83,1.34,100.0,800205.0,15.94
3,Marseille,2019-01,24.66,229.11910891089107,0.8,73.75,935.0,16.13
3,Marseille,2020-10,54.68,6.88,0.85,100.34048076923078,856017.0,15.95
3,Marseille,2023-10,43.21,8.78,1.26,1.0,874434.0,15.76
3,Marseille,2021-07,41.81,5.54,0.9,100.0,1080972.53,14.82
3,Marseille,2023-04,30.12,7.26,0.8,94.58,848.0,1.48
3,Marseille,2018-10,49.05,21.63,1.46,100.0,911203.0,16.1
3,Marseille,2021-04,49.85,10.45,1.21,100.0,909915.0,15.07
3,Marseille,2024-09,11.02,15.59,5.18,100.34048076923078,963.0,14.58
3,Marseille,2017-08,46.74,14.67,0.98,100.0,827824.0,16.43
3,Marseille,2022-04,42.9,14.41,0.9,100.0,724838.0,16.18
3,Marseille,2020-12,38.66,13.56,0.9,100.0,876.0,15.2
3,Marseille,2016-11,26.5,13.88,0.4,91.95,859234.0,16.08
3,Marseille,2018-06,45.32,229.11910891089107,8.0,100.0,1080972.53,16.15
3,Marseille,2019-09,32.17,8.41,0.11,999.0,896842.0,15.22
3,Marseille,2020-03,39.09,21.88,8.46,100.0,850855.0,1.69
3,Marseille,2023-09,4.29,14.05,0.65,1.0,800.0,16.4
3,Marseille,2016-06,22.26,11.31,0.5,80.37,936.0,16.72
3,Marseille,2024-06,45.1,13.77,0.81,100.0,781.0,1.44
3,Marseille,2021-03,41.48,229.11910891089107,0.77,100.0,10.0,14.6
3,Marseille,2024-02,14.22,8.13,1.13,67.1,798.0,14.91
3,Marseille,2020-04,25.42,999.0,0.7,77.99,866.0,14.16981132075472
3,Marseille,2022-07,29.74,8.0,1.49,100.0,866160.0,14.16981132075472
3,Marseille,2017-01,27.6,7.75,0.79,97.1,791404.0,13.89
3,Marseille,2024-03,32.11,13.34,0.6,100.0,1080972.53,1.55
3,Marseille,2017-02,48.29,1.1,0.64,100.0,829719.0,17.33
3,Marseille,2022-05,25.3,3.21,0.99,84.96,853127.0,16.45
3,Marseille,2023-11,30.95,15.9,1.08,100.0,925217.0,13.8
3,Marseille,2023-05,34.22,1.41,0.51,100.0,855070.0,15.52
3,Marseille,2024-07,19.51,12.69,1.36,9.25,891902.0,16.0
3,Marseille,2020-11,20.93,14.06,0.78,86.2,919.0,18.09
3,Marseille,2018-07,31.09,14.01,0.57,100.0,896119.0,15.13
3,Marseille,2021-10,44.4,229.11910891089107,0.19,100.0,1080972.53,15.4
3,Marseille,2017-12,30.6,9999.0,0.77,100.0,884.0,16.23
3,Marseille,2020-07,33.62,5.1,1.12,99.5,953664.0,16.58
3,Marseille,2022-11,35.85,18.43,0.28,1.0,851993.0,16.17
3,Marseille,2024-05,2.96,19.67,1.01,100.0,5.0E7,15.17
3,Marseille,2020-09,25.45,16.94,0.74,94.42,812243.0,15.92
3,Marseille,2017-09,33.02,13.3,1.3,100.0,886.0,16.6
3,Marseille,2020-06,30.45,27.3,0.93,100.0,838682.0,16.65
3,Marseille,2021-05,36.76,11.88,0.6,100.0,801048.0,1.67
3,Marseille,2016-12,33.69,9999.0,1.2,100.0,10.0,14.57
3,Marseille,2018-03,145.92307692307693,24.49,1.01,100.0,897667.0,15.9
3,Marseille,2022-12,34.7,8.39,0.74,100.0,913800.0,15.52
3,Marseille,2022-02,41.04,4.24,0.52,100.0,907.0,17.21
3,Marseille,2017-10,28.46,7.97,0.53,78.54,962810.0,14.4
3,Marseille,2018-01,39.56,1.76,0.9,100.0,879984.0,14.8
3,Marseille,2018-04,46.33,15.23,7.98,100.0,849548.0,14.65
3,Marseille,2023-01,52.93,1.17,2.1683018867924533,100.0,769843.0,13.92
